인터넷 internet
녹화 record
영혼 soul
예술 art
싸움 fight
성격 character
꿈 dream
사랑 love
너 you
지금 now
태양 sun
카메라 camera
물 water
마음 mind
빛 light
이름 name
보다 look
하늘 sky
눈 eye
파랑색 blue
초록색 green
섬 island
악기 instrument
또한 also
산 mountain
물 water
포도 grape
영감 inspiration
견책 cencure
주요한 principal
원칙 principle
항의 protest
보호하다 protect
화환 wreath
콩 bean
빛줄기 beam
상점가 bazaar
임무 mission
헐거워진 loose
보완하다 complement
칭찬 compliment
막대기 pole
확인하다 confirm
금속 metal
필요하다 require
각도 angle
천사 angel
별개의 discrete
신중한 discreet
절대 never
대칭의 symmetric
상자 box
